antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Meal Gyros Chicken.'}),frozenset({'DELIVEROO'}),0.010020421155324796,0.019185138028821113,0.005626152307094491,0.5614686468646864,29.26581221470563,0.005433909144122666,2.2365900521337134,0.9756064247435443
frozenset({'DELIVEROO'}),frozenset({'Meal Gyros Chicken.'}),0.019185138028821113,0.010020421155324796,0.005626152307094491,0.2932557638439991,29.265812214705626,0.005433909144122666,1.4007607394567492,0.9847224740709061
"frozenset({'Coca Cola', 'Still Water'})",frozenset({'Meal Gyros Chicken'}),0.015613502765537027,0.20552611344902566,0.006010599158350764,0.3849616097431824,1.8730544906579967,0.002801616617624325,1.2917468228596771,0.473505786453071
frozenset({'Coca Cola 500ml'}),frozenset({'Meal Gyros Chicken'}),0.06679454002794474,0.20552611344902566,0.02379850024389639,0.3562940958039361,1.733570930840882,0.010070478032337533,1.234218734630386,0.4534435474279413
frozenset({'Meal Meatball Beef'}),frozenset({'Coca Cola'}),0.02990004381867337,0.12699974370209915,0.006506659611584665,0.21761371491773815,1.7134972762479777,0.0027093617099316135,1.1158174330805297,0.4292323204652162
frozenset({'Meal Gyros Mix'}),frozenset({'Coca Cola'}),0.064062073698048,0.12699974370209915,0.013521781187734078,0.21107311092469508,1.6619963534714306,0.005385914247056995,1.1065667407041198,0.42557732886201965
frozenset({'Meal Gyros Pork'}),frozenset({'Coca Cola'}),0.05720817176919961,0.12699974370209915,0.011831041809628533,0.20680685020593972,1.628403681593583,0.004565618657274518,1.1006149719328278,0.40931799262820984
frozenset({'Salad Greek'}),frozenset({'Still Water'}),0.033818921399221186,0.12602829198118276,0.006767091349532463,0.20009778755653343,1.5877211728491087,0.0025049504489427455,1.0925981881573874,0.38312330648229687
frozenset({'Fanta Orange'}),frozenset({'Meal Gyros Chicken'}),0.04797731350193877,0.20552611344902566,0.015609368928426744,0.32534895743580905,1.583005448679891,0.005748778150647806,1.1776071426961185,0.3868502717531297
frozenset({'Coca Cola'}),frozenset({'Meal Gyros Chicken'}),0.12699974370209915,0.20552611344902566,0.04109860855042868,0.3236117440270816,1.5745529295348806,0.014996844818313863,1.1745826151404732,0.41798279707887986
frozenset({'Epic Wrap Chicken Gyros'}),frozenset({'TAKEAWAY'}),0.07954329367605599,0.3138987871321918,0.03885806883665556,0.48851470741087205,1.5562809651925937,0.013889525427241839,1.3413899144485228,0.3883316853329623
frozenset({'Epic Wrap Pork Gyros'}),frozenset({'TAKEAWAY'}),0.017275305283870595,0.3138987871321918,0.008218068175241624,0.47571189279731996,1.5154945233891075,0.0027953707992962986,1.308633942754254,0.3461288623351072
frozenset({'Sprite'}),frozenset({'Meal Gyros Chicken'}),0.02071879159673592,0.20552611344902566,0.006440518217820145,0.310853950518755,1.5124790971919615,0.0021822655055826782,1.1528381932233596,0.3460025934913578
frozenset({'Greek Wrap Chicken Gyros'}),frozenset({'TAKEAWAY'}),0.19227716551057022,0.3138987871321918,0.08900564682149265,0.4629028443660912,1.4746882222617492,0.028650077774508946,1.2774247744023841,0.39851611141355536
frozenset({'TAKEAWAY'}),frozenset({'Greek Wrap Chicken Gyros'}),0.3138987871321918,0.19227716551057022,0.08900564682149265,0.2835488713883109,1.4746882222617492,0.028650077774508946,1.1273941825656741,0.4691590060819224
frozenset({'Epic Wrap Chicken Fillet'}),frozenset({'TAKEAWAY'}),0.01147966565525452,0.3138987871321918,0.005291311501161608,0.46092906013683826,1.468400258401533,0.0016878583752941356,1.2727475405036093,0.3226911585901333
frozenset({'Fanta Lemon'}),frozenset({'Meal Gyros Chicken'}),0.023674485130587914,0.20552611344902566,0.007093664481244781,0.2996333158721844,1.457884406238719,0.002227939564448299,1.1343684737664999,0.3216904169253871
frozenset({'Greek Wrap Chicken Souvlaki'}),frozenset({'TAKEAWAY'}),0.03860177093581804,0.3138987871321918,0.017428257256951046,0.45148854144356393,1.4383252180373323,0.00531120817904307,1.2508420784380303,0.3169830535617928
"frozenset({'TAKEAWAY', 'Still Water'})",frozenset({'Greek Wrap Chicken Gyros'}),0.018449315023190825,0.19227716551057022,0.00503087976321381,0.27268653372171187,1.418195098714003,0.0014834977649430983,1.1105566883322013,0.30042095887729575
frozenset({'Still Water'}),frozenset({'Meal Gyros Chicken'}),0.12602829198118276,0.20552611344902566,0.03574528949261283,0.2836290878079181,1.3800148460368928,0.009843184457101334,1.1090258873296501,0.3150789801096497
frozenset({'Zero Coke'}),frozenset({'Meal Gyros Chicken'}),0.027717377824444205,0.20552611344902566,0.007738543070448852,0.27919463087248325,1.3584387219083416,0.002041898131192624,1.1022030642094525,0.27138281561466404
frozenset({'Greek Wrap Pork Gyros'}),frozenset({'TAKEAWAY'}),0.05650541946045158,0.3138987871321918,0.02375302803568328,0.4203672543712049,1.3391808812379264,0.00601604540065178,1.1836826301514665,0.26844338949391217
frozenset({'Diet Coke'}),frozenset({'Meal Gyros Chicken'}),0.030334096715253032,0.20552611344902566,0.00780055062710309,0.2571545380212592,1.251201288760021,0.0015661016242302789,1.0695008951588791,0.20704872262830123
frozenset({'Fresh Orange Juice'}),frozenset({'Meal Gyros Chicken'}),0.048634593602473686,0.20552611344902566,0.011707026696320058,0.24071398215044623,1.171208748664183,0.0017113476940307931,1.0463433645216853,0.15365414832768814
frozenset({'Chips'}),frozenset({'Greek Wrap Chicken Gyros'}),0.033707307797243555,0.19227716551057022,0.007221813431663539,0.2142506745155752,1.114280387619907,0.0007406678314172055,1.0279650370574076,0.10613741914997447
frozenset({'Chips'}),frozenset({'TAKEAWAY'}),0.033707307797243555,0.3138987871321918,0.011756632741643448,0.3487858719646799,1.1111411902900923,0.0011759497065972225,1.0535723709461595,0.10351352574902493
frozenset({'Dip Tzatziki'}),frozenset({'Meal Gyros Chicken'}),0.029809099402247154,0.20552611344902566,0.006469455077592123,0.21702953820551935,1.0559706237005584,0.00034290673203259125,1.01469202903278,0.05463250482051106
frozenset({'Salad Chicken'}),frozenset({'TAKEAWAY'}),0.02303787421560441,0.3138987871321918,0.006907641811282068,0.29983850708774445,0.9552075999627033,-0.00032391896310015114,0.9799185185321104,-0.04580027879875691
"frozenset({'Greek Wrap Chicken Gyros', 'Still Water'})",frozenset({'TAKEAWAY'}),0.021037097054227676,0.3138987871321918,0.00503087976321381,0.23914325014737667,0.7618482770583836,-0.0015726394868904627,0.9017482108172199,-0.24203076849778085
frozenset({'Meal Boneless Chicken'}),frozenset({'TAKEAWAY'}),0.02394731837986656,0.3138987871321918,0.005572412424660818,0.2326946314517521,0.7413046529350166,-0.00194462176984774,0.8941697021694516,-0.2633707731213962
frozenset({'Salad Greek'}),frozenset({'TAKEAWAY'}),0.033818921399221186,0.3138987871321918,0.007701338536456309,0.2277227722772277,0.7254656010547982,-0.002914379872878149,0.888413108969854,-0.2814393629018773
frozenset({'Meal Gyros Chicken'}),frozenset({'TAKEAWAY'}),0.20552611344902566,0.3138987871321918,0.04614188982497334,0.22450621505289833,0.7152184852449025,-0.01837250791066907,0.8847281902002719,-0.3338572151765202
frozenset({'Fanta Lemon'}),frozenset({'TAKEAWAY'}),0.023674485130587914,0.3138987871321918,0.005117690342529743,0.21616902392177403,0.6886583599022924,-0.0023137018259409134,0.8753178093325767,-0.3165017684906732
frozenset({'Meal Chicken Fillet'}),frozenset({'TAKEAWAY'}),0.05488082147611056,0.3138987871321918,0.01139698891304887,0.20766797228080744,0.6615762175384019,-0.005830034385120579,0.8659263905345584,-0.35117415987863654
frozenset({'Meal Gyros Mix'}),frozenset({'TAKEAWAY'}),0.064062073698048,0.3138987871321918,0.013257215612675998,0.20694327934438922,0.6592675340833332,-0.0068517916223143575,0.8651351095046723,-0.35575754626089595
